Département,Année,Taux de chômage
Dordogne,2022,7.22
Dordogne,2023,7.07
Doubs,2016,9.12
Doubs,2017,8.25
Doubs,2018,7.72
Doubs,2019,7.57
Doubs,2020,7.5
Doubs,2021,7.25
Doubs,2022,6.52
Doubs,2023,6.5
Drôme,2016,10.92
Drôme,2017,10.12
Drôme,2018,9.77
Drôme,2019,9.17
Drôme,2020,8.62
Drôme,2021,8.45
Drôme,2022,7.82
Drôme,2023,7.9
Essonne,2016,7.65
Essonne,2017,7.22
Essonne,2018,7.0
Essonne,2019,6.62
Essonne,2020,6.65
Essonne,2021,6.72
Essonne,2022,6.38
Essonne,2023,6.3
Eure,2016,10.25
Eure,2017,9.52
Eure,2018,9.07
Eure,2019,8.38
Eure,2020,8.0
Eure,2021,7.75
Eure,2022,7.05
Eure,2023,6.87
Eure-et-Loir,2016,9.48
Eure-et-Loir,2017,8.88
Eure-et-Loir,2018,8.52
Eure-et-Loir,2019,8.18
Eure-et-Loir,2020,7.38
Eure-et-Loir,2021,7.05
Eure-et-Loir,2022,6.72
Eure-et-Loir,2023,6.77
Finistère,2016,8.95
Finistère,2017,8.2
Finistère,2018,7.82
Finistère,2019,7.32
Finistère,2020,6.92
Finistère,2021,6.68
Finistère,2022,6.12
Finistère,2023,6.13
Gard,2016,13.32
Gard,2017,12.52
Gard,2018,12.2
Gard,2019,11.62
Gard,2020,10.68
Gard,2021,10.5
Gard,2022,9.93
Gard,2023,9.97
Gers,2016,8.02
Gers,2017,7.22
Gers,2018,6.7
Gers,2019,6.32
Gers,2020,6.0
Gers,2021,6.1
Gers,2022,5.68
Gers,2023,5.6
Gironde,2016,9.98
Gironde,2017,9.38
Gironde,2018,8.75
Gironde,2019,8.07
Gironde,2020,7.65
Gironde,2021,7.28
Gironde,2022,6.55
Gironde,2023,6.33
Guadeloupe,2016,23.8
Guadeloupe,2017,22.35
Guadeloupe,2018,22.62
Guadeloupe,2019,20.68
Guadeloupe,2020,17.38
Guadeloupe,2021,17.17
Guadeloupe,2022,18.55
Guadeloupe,2023,18.3
Guyane,2016,22.9
Guyane,2017,21.88
Guyane,2018,18.98
Guyane,2019,19.38
Guyane,2020,16.18
Guyane,2021,14.3
Guyane,2022,13.32
Guyane,2023,13.07
Haut-Rhin,2016,9.8
Haut-Rhin,2017,9.0
Haut-Rhin,2018,8.32
Haut-Rhin,2019,7.98
Haut-Rhin,2020,8.0
Haut-Rhin,2021,7.82
Haut-Rhin,2022,6.88
Haut-Rhin,2023,6.9
Haute-Corse,2016,10.52
Haute-Corse,2017,9.7
Haute-Corse,2018,9.38
Haute-Corse,2019,8.45
Haute-Corse,2020,7.98
Haute-Corse,2021,6.95
Haute-Corse,2022,6.4
Haute-Corse,2023,6.67
Haute-Garonne,2016,10.12
Haute-Garonne,2017,9.2
Haute-Garonne,2018,8.55
Haute-Garonne,2019,8.05
Haute-Garonne,2020,7.98
Haute-Garonne,2021,8.1
Haute-Garonne,2022,7.42
Haute-Garonne,2023,7.23
Haute-Loire,2016,8.25
Haute-Loire,2017,7.4
Haute-Loire,2018,7.05
Haute-Loire,2019,6.62
Haute-Loire,2020,6.25
Haute-Loire,2021,6.0
Haute-Loire,2022,5.6
Haute-Loire,2023,5.6
Haute-Marne,2016,9.43
Haute-Marne,2017,8.55
Haute-Marne,2018,8.1
Haute-Marne,2019,7.45
Haute-Marne,2020,7.15
Haute-Marne,2021,6.7
Haute-Marne,2022,6.28
Haute-Marne,2023,6.43
Haute-Savoie,2016,7.43
Haute-Savoie,2017,6.82
Haute-Savoie,2018,6.48
Haute-Savoie,2019,6.15
Haute-Savoie,2020,6.42
Haute-Savoie,2021,6.48
Haute-Savoie,2022,5.42
Haute-Savoie,2023,5.27
Haute-Saône,2016,9.23
Haute-Saône,2017,8.55
Haute-Saône,2018,7.98
Haute-Saône,2019,7.68
Haute-Saône,2020,7.05
Haute-Saône,2021,6.72
Haute-Saône,2022,6.38
Haute-Saône,2023,6.3
Haute-Vienne,2016,9.5
Haute-Vienne,2017,8.68
Haute-Vienne,2018,8.15
Haute-Vienne,2019,7.65
Haute-Vienne,2020,7.25
Haute-Vienne,2021,6.93
Haute-Vienne,2022,6.52
Haute-Vienne,2023,6.4
Hautes-Alpes,2016,9.25
Hautes-Alpes,2017,8.7
Hautes-Alpes,2018,8.45
Hautes-Alpes,2019,7.98
Hautes-Alpes,2020,7.7
Hautes-Alpes,2021,7.93
Hautes-Alpes,2022,6.78
Hautes-Alpes,2023,6.6
Hautes-Pyrénées,2016,11.2
Hautes-Pyrénées,2017,10.28
Hautes-Pyrénées,2018,9.7
Hautes-Pyrénées,2019,9.28
Hautes-Pyrénées,2020,9.12
Hautes-Pyrénées,2021,8.68
Hautes-Pyrénées,2022,7.9
Hautes-Pyrénées,2023,7.67
Hauts-de-Seine,2016,7.55
Hauts-de-Seine,2017,7.08
Hauts-de-Seine,2018,6.88
Hauts-de-Seine,2019,6.5
Hauts-de-Seine,2020,6.38
Hauts-de-Seine,2021,6.55
Hauts-de-Seine,2022,5.92
Hauts-de-Seine,2023,5.73
Hérault,2016,13.68
Hérault,2017,12.95
Hérault,2018,12.58
Hérault,2019,11.78
Hérault,2020,11.08
Hérault,2021,10.77
Hérault,2022,10.1
Hérault,2023,10.0
Ille-et-Vilaine,2016,7.9
Ille-et-Vilaine,2017,7.2
Ille-et-Vilaine,2018,6.82
Ille-et-Vilaine,2019,6.42
Ille-et-Vilaine,2020,6.48
Ille-et-Vilaine,2021,5.82
Ille-et-Vilaine,2022,5.4
Ille-et-Vilaine,2023,5.5
Indre,2016,9.78
Indre,2017,9.12
Indre,2018,8.8
Indre,2019,8.17
Indre,2020,7.88
Indre,2021,7.55
Indre,2022,7.12
Indre,2023,7.0
Indre-et-Loire,2016,9.12
Indre-et-Loire,2017,8.5
Indre-et-Loire,2018,8.12
Indre-et-Loire,2019,7.72
Indre-et-Loire,2020,7.18
Indre-et-Loire,2021,6.85
Indre-et-Loire,2022,6.48
Indre-et-Loire,2023,6.53
Isère,2016,8.4
Isère,2017,7.82
Isère,2018,7.38
Isère,2019,6.88
Isère,2020,6.65
Isère,2021,6.48
Isère,2022,5.9
Isère,2023,5.87
Jura,2016,7.52
Jura,2017,6.82
Jura,2018,6.4
Jura,2019,6.12
Jura,2020,5.8
Jura,2021,5.4
Jura,2022,5.1
Jura,2023,5.27
La Réunion,2016,22.25
La Réunion,2017,22.62
La Réunion,2018,23.98
La Réunion,2019,21.22
La Réunion,2020,17.25
La Réunion,2021,17.95
La Réunion,2022,18.02
La Réunion,2023,19.13
Landes,2016,9.42
Landes,2017,9.02
Landes,2018,8.5
Landes,2019,8.0
Landes,2020,7.7
Landes,2021,7.45
Landes,2022,6.88
Landes,2023,6.7
Loir-et-Cher,2016,8.7
Loir-et-Cher,2017,8.0
Loir-et-Cher,2018,7.72
Loir-et-Cher,2019,7.15
Loir-et-Cher,2020,6.58
Loir-et-Cher,2021,6.4
Loir-et-Cher,2022,5.98
Loir-et-Cher,2023,5.93
Loire,2016,9.98
Loire,2017,9.2
Loire,2018,8.73
Loire,2019,8.27
Loire,2020,7.88
Loire,2021,7.6
Loire,2022,7.12
Loire,2023,7.3
Loire-Atlantique,2016,8.3
Loire-Atlantique,2017,7.55
Loire-Atlantique,2018,7.18
Loire-Atlantique,2019,6.82
Loire-Atlantique,2020,6.82
Loire-Atlantique,2021,6.48
Loire-Atlantique,2022,5.7
Loire-Atlantique,2023,5.47
Loiret,2016,9.9
Loiret,2017,9.05
Loiret,2018,8.7
Loiret,2019,8.35
Loiret,2020,7.63
Loiret,2021,7.32
Loiret,2022,7.07
Loiret,2023,7.03
Lot,2016,9.07
Lot,2017,8.78
Lot,2018,8.57
Lot,2019,8.27
Lot,2020,7.95
Lot,2021,7.82
Lot,2022,7.3
Lot,2023,7.23
Lot-et-Garonne,2016,10.15
Lot-et-Garonne,2017,9.25
Lot-et-Garonne,2018,8.9
Lot-et-Garonne,2019,8.52
Lot-et-Garonne,2020,7.9
Lot-et-Garonne,2021,7.85
Lot-et-Garonne,2022,7.42
Lot-et-Garonne,2023,7.17
Lozère,2016,6.32
Lozère,2017,5.95
Lozère,2018,5.75
Lozère,2019,5.38
Lozère,2020,5.15
Lozère,2021,5.05
Lozère,2022,4.62
Lozère,2023,4.7
Maine-et-Loire,2016,9.25
Maine-et-Loire,2017,8.48
Maine-et-Loire,2018,8.12
Maine-et-Loire,2019,7.62
Maine-et-Loire,2020,7.52
Maine-et-Loire,2021,6.95
Maine-et-Loire,2022,6.45
Maine-et-Loire,2023,6.2
Manche,2016,7.98
Manche,2017,7.2
Manche,2018,6.72
Manche,2019,6.15
Manche,2020,5.98
Manche,2021,5.48
Manche,2022,5.07
Manche,2023,5.03
Marne,2016,9.55
Marne,2017,8.82
Marne,2018,8.45
Marne,2019,7.95
Marne,2020,7.62
Marne,2021,7.48
Marne,2022,7.1
Marne,2023,7.2
Martinique,2016,17.82
Martinique,2017,17.9
Martinique,2018,17.32
Martinique,2019,14.92
Martinique,2020,12.4
Martinique,2021,12.9
Martinique,2022,12.4
Martinique,2023,10.97
Mayenne,2016,6.75
Mayenne,2017,6.15
Mayenne,2018,5.82
Mayenne,2019,5.6
Mayenne,2020,5.8
Mayenne,2021,5.28
Mayenne,2022,4.97
Mayenne,2023,4.77
Meurthe-et-Moselle,2016,9.82
Meurthe-et-Moselle,2017,9.25
Meurthe-et-Moselle,2018,8.68
Meurthe-et-Moselle,2019,8.02
Meurthe-et-Moselle,2020,7.6
Meurthe-et-Moselle,2021,7.52
Meurthe-et-Moselle,2022,7.0
Meurthe-et-Moselle,2023,7.03
Meuse,2016,9.75
Meuse,2017,8.98
Meuse,2018,8.6
Meuse,2019,7.85
Meuse,2020,7.38
Meuse,2021,7.52
Meuse,2022,7.2
Meuse,2023,7.17
Morbihan,2016,9.1
Morbihan,2017,8.38
